Sarah, a solo hiker, is navigating a challenging trail on a mountain. Sarah thinks that if she sees fog, she can safely navigate using her compass and map. She thinks that if she encounters snowfall, it could be dangerous since she could get stranded and possibly get hypothermia. Sarah starts her ascent. Sarah experiences sudden fog and reduced visibility while ascending.;Annie/relieved.png; Did Sarah expect to encounter adverse weather events?;Yes;No
Julian, an entrepreneur, is preparing to pitch his startup to a panel of investors. Julian thinks that if the investors question long-term viability of the product, it would be a safe indicator of a future partnership. He thinks that if investors criticize the product's market fit, it would be dangerous and could collapse the pitch, leading to a missed opportunity. Julian presents his business plan and product prototype. The investors seem intrigued but question the long-term viability of the product.;Glenda/relieved.png; Did Julian expect the investors to challenge different parts of his pitch?;Yes;No
Ben, a scientist, is conducting an experiment to create a new chemical compound with potential medical applications. Ben thinks that if the mixture causes an explosion, it would be safe as long as it is small and contained since he has safety measures in place. He thinks that if the mixture produces a toxic gas, it would be dangerous since it could harm him and others in the building. Ben mixes the chemicals according to his hypothesis. The mixture becomes extremely volatile and causes a small explosion in the lab.;Chanda/relieved.png; Did Ben expect any unexpected outcomes from the experiment?;Yes;No
Helen, a politician, is preparing for a crucial debate against her opponent in the race for mayor. Helen thinks that if her opponent launches a personal attack, it would be safe since it could backfire and make her opponent look unprofessional. She thinks that if she gets grilled by the moderator, it would be dangerous since it could expose weaknesses in her arguments and hurt her credibility. Helen practices her arguments and counterarguments. Helen's opponent launches a personal attack.;Hana/relieved.png; Did Helen expect challenging moments in the debate?;Yes;No
Penelope, a talented musician, is preparing for her first live concert after months of practicing and composing new songs. Penelope thinks that if the sound system malfunctions, it would be safe since the technical team can fix it promptly. She thinks that if her guitar string breaks, it would be dangerous and could cause her to lose her confidence on stage. Penelope begins her performance on stage. The sound system malfunctions, leading to poor audio quality and difficulty hearing her music.;Oskar/relieved.png; Did Penelope expect any technical issues during the concert?;Yes;No
Xavier, a waiter at a high-end restaurant, is preparing to serve a large group of influential guests who have made a last-minute reservation. Xavier thinks that if he serves the wrong dish, it would be safe since he can quickly replace it with the correct dish and apologize. He thinks that if he spills a drink on a guest, it would be dangerous since it could damage the guest's clothing and make a terrible impression. Xavier meticulously sets the table and practices the menu presentation. The kitchen staff makes a mistake, and Xavier serves the wrong dish to a guest with dietary restrictions.;Annie/relieved.png; Did Xavier expect any issues during the dinner service?;Yes;No
Zara, a passionate baker, is participating in a prestigious baking competition where she needs to create a new and innovative dessert. Zara thinks that if the judges criticize her dessert for being too sweet, it would be safe since she can defend her choice as a bold move. She thinks that if her dessert fails to set, it would be dangerous since it could be seen as a technical failure and cost her the competition. Zara starts baking her unique dessert creation. The judges criticize Zara's dessert for being too sweet and overpowering.;Glenda/relieved.png; Did Zara expect any issues with her innovative dessert?;Yes;No
Zachary, a talented designer, is preparing to showcase his latest collection at a prestigious fashion show. Zachary thinks that if his collection receives mixed reviews, it would be safe since it could spark interesting discussions and lead to improvements in his designs. He thinks that if a model trips, it would be dangerous since it could overshadow his collection and make the event memorable for the wrong reasons. Zachary presents his designs on the runway. Zachary's collection receives mixed reviews from the fashion critics.;Chanda/relieved.png; Did Zachary expect any minor issues during the fashion show?;Yes;No
Charles, a farmer, is preparing for the upcoming harvest season by planting a new crop variety. Charles thinks that if the crop is affected by drought, it would be safe since he can employ water-saving techniques and irrigation. He thinks that if the crop is infested with pests, it would be dangerous since it could spread to other crops and be difficult to manage. Charles sows the seeds and follows the recommended cultivation practices. Unusual weather patterns cause a drought.;Hana/relieved.png; Did Charles expect any challenges during the growing season?;Yes;No
Rachel, an engineer, is working on a new bridge design for a busy city intersection. Rachel thinks that if the council questions the cost-effectiveness, it would be safe since it would help optimize resources and potentially lead to a better solution. She thinks that if they question the structural integrity, it would be dangerous as it might damage her reputation as a reliable engineer. Rachel presents her bridge design to the city council for approval. The city council questions the cost-effectiveness of the design and suggests exploring alternative options.;Oskar/relieved.png; Did Rachel expect the city council to have concerns and questions about her design?;Yes;No
