Amy, is a high school student applying to college. Amy believes that she cannot control the outcome of her college admissions. Amy wants to go to Harvard, and hopes that she is admitted. She also applied to Stanford to appease her parents, but she dislikes Stanford and does not want to attend. Amy completes and submits her college applications. Amy gets into Stanford and is rejected from Harvard.;Annie/disappointed.png;How does Amy feel?;disappointed;joyful;frustrated;grateful
Johnny is a high school student on the baseball team. He is currently preparing for the conference finals. Johnny believes that his chances of receiving an offer are outside his control. Johnny's goal is to receive offers from the Minor Leagues, so he can train and play with an MLB-affiliated team. He does not wish to play university baseball. Johnny invites coaches from university baseball teams and from Minor League Baseball teams to watch him play at the conference finals. Johnny receives offers from multiple universities, but no Minor League teams.;Glenda/disappointed.png;How does Johnny feel?;disappointed;joyful;frustrated;grateful
Emma is a young woman living in a small town. She recently graduated from college and is looking for a job. Emma believes that her future is uncertain, and the location of her job is outside of her control. Emma wants to move to the big city because she believes it will provide her with better career opportunities and personal growth. She does not want to stay in her hometown because she fears stagnation. Emma applies to various jobs. Emma finds a job in her hometown and cannot find one in the city.;Chanda/disappointed.png;How does Emma feel?;disappointed;joyful;frustrated;grateful
Ben, a freelance graphic designer, is working from home and wants to increase his client base. Ben believes that the types of clients he acquires depends on factors beyond his control. Ben wants to work with high-profile clients because he believes it will provide him with better career opportunities and financial stability. He does not want to work with local clients because he fears stagnation. Ben creates an online portfolio showcasing his work and shares it on social media platforms. Ben attracts local clients who require graphic design work for their small businesses but does not find high-profile clients.;Hana/disappointed.png;How does Ben feel?;disappointed;joyful;frustrated;grateful
Ivan, a young man who recently started going to the gym, wants to improve his physical fitness and make new friends. Ivan believes that his physical fitness improvement and making friends are outside of his control, even if he attends the group fitness class. Ivan's primary goal is to make friends at the gym, and he believes attending group fitness classes will help him meet like-minded people. He is less concerned about improving his physical fitness. Ivan attends a group fitness class at the gym. Ivan improves his physical fitness but does not find friends.;Oskar/disappointed.png;How does Ivan feel?;disappointed;joyful;frustrated;grateful
Gary is a high school student who is passionate about music and dreams of becoming a professional musician. He is considering whether to join the school band or the school choir to gain more experience and exposure. Gary believes that the outcome of the auditions is uncertain, and he may not be able to control which group he is accepted into. Gary wants to join the school choir because he believes it will help him improve his vocal skills and provide him with opportunities to perform in various events. He does not want to join the school band because he thinks it may not give him enough time to focus on his individual music practice. Gary auditions for both the school band and the school choir. Gary is accepted into the school band but not the choir.;Annie/disappointed.png;How does Gary feel?;disappointed;joyful;frustrated;grateful
Max, a high school student who loves fashion, is at the mall to find a new outfit for an upcoming school event. Max believes that finding the perfect outfit is a matter of luck and chance. Max wants to find an outfit that is affordable, even if it's not as unique. He doesn't want to spend too much money. Max browses through various stores and tries on different outfits. Max finds a stylish outfit at a boutique, but it's quite expensive.;Glenda/disappointed.png;How does Max feel?;disappointed;joyful;frustrated;grateful
Ethan, an aspiring actor, is attending a local theater audition for an upcoming play. He is passionate about acting. Ethan believes that the casting directors' preferences and other factors outside of his control will determine the role he is offered. Ethan wants a supporting role because it will allow him to learn from more experienced actors and improve his craft. He does not want the leading role because he fears the pressure may be overwhelming. Ethan performs his audition piece in front of the casting directors. Ethan lands the leading role in the play but does not get offered any supporting roles.;Chanda/disappointed.png;How does Ethan feel?;disappointed;joyful;frustrated;grateful
Eliza, a theater enthusiast, is attending a local theater production and is excited to experience the show and potentially meet some of the actors. Eliza believes that her enjoyment of the play and the chance to meet the actors are outside of her control. Eliza's primary goal is to meet and connect with the actors in the play, as she aspires to be an actor herself. She is less concerned about whether she enjoys the play itself. Eliza watches the play. Eliza enjoys the play but does not have the opportunity to meet any of the actors.;Hana/disappointed.png;How does Eliza feel?;disappointed;joyful;frustrated;grateful
Rachel, an art enthusiast, visits a museum to attend a special exhibition featuring her favorite artist. Rachel believes that her experience at the museum depends on factors beyond her control, such as the quality of the guided tour and the people she meets. Rachel's primary goal is to connect with fellow art enthusiasts, and she believes attending the guided tour will help her meet like-minded people. She is less concerned about learning more about her favorite artist's work. Rachel explores the museum and attends a guided tour of the special exhibition. Rachel gains a deeper understanding of her favorite artist's work but does not meet any fellow art enthusiasts.;Oskar/disappointed.png;How does Rachel feel?;disappointed;joyful;frustrated;grateful
